PROJECT_ID,REPORT_MONTH,COST_OVERRUN_PCT,SCHEDULE_CHANGE_DAYS,DELAY_INDICATOR
400141.0,JUNE,38.371922983183026,1455.0,1
400141.0,JULY,38.371922983183026,1455.0,1
400142.0,APRIL,0.0,,0
400142.0,MAY,0.0,,0
400142.0,JUNE,0.0,,0
400142.0,JULY,0.0,,0
400144.0,APRIL,0.0,,0
400144.0,MAY,0.0,,0
400144.0,JUNE,0.0,,0
400144.0,JULY,0.0,,0
400148.0,APRIL,0.0,2191.0,1
400148.0,MAY,0.0,2191.0,1
400148.0,JUNE,0.0,2191.0,1
400148.0,JULY,0.0,2191.0,1
400149.0,APRIL,0.0,,0
400149.0,MAY,0.0,,0
400149.0,JUNE,0.0,,0
400149.0,JULY,0.0,,0
400150.0,APRIL,0.0,,0
400150.0,MAY,0.0,,0
400150.0,JUNE,0.0,,0
400150.0,JULY,0.0,,0
400151.0,APRIL,0.0,,0
400151.0,MAY,0.0,,0
400151.0,JUNE,0.0,,0
400151.0,JULY,0.0,,0
400153.0,APRIL,0.0,,0
400153.0,MAY,0.0,,0
400153.0,JUNE,0.0,,0
400153.0,JULY,0.0,,0
400154.0,APRIL,0.0,,0
400154.0,MAY,0.0,,0
400154.0,JUNE,0.0,,0
400154.0,JULY,0.0,,0
400155.0,APRIL,0.0,,0
400155.0,MAY,0.0,,0
400155.0,JUNE,0.0,,0
400155.0,JULY,0.0,,0
400156.0,APRIL,0.0,,0
400156.0,MAY,0.0,,0
400156.0,JUNE,0.0,,0
400156.0,JULY,0.0,,0
400160.0,APRIL,0.0,4018.0,1
400160.0,MAY,0.0,4018.0,1
400160.0,JUNE,0.0,4018.0,1
400160.0,JULY,0.0,4018.0,1
400162.0,APRIL,0.0,1461.0,1
400162.0,MAY,0.0,1461.0,1
400162.0,JUNE,0.0,1461.0,1
400162.0,JULY,0.0,1461.0,1
400165.0,APRIL,0.0,,0
400165.0,MAY,0.0,,0
400165.0,JUNE,0.0,,0
400165.0,JULY,0.0,,0
400166.0,APRIL,0.0,,0
400166.0,MAY,0.0,,0
400166.0,JUNE,0.0,,0
400166.0,JULY,0.0,,0
400167.0,APRIL,0.0,9.0,1
400167.0,MAY,0.0,9.0,1
400167.0,JUNE,0.0,9.0,1
400167.0,JULY,0.0,9.0,1
400168.0,APRIL,27.95271115152893,730.0,1
400168.0,MAY,27.95271115152893,732.0,1
400168.0,JUNE,27.95271115152893,732.0,1
400168.0,JULY,27.95271115152893,732.0,1
400169.0,APRIL,33.974612934408825,369.0,1
400169.0,MAY,33.974612934408825,369.0,1
400169.0,JUNE,33.974612934408825,369.0,1
400169.0,JULY,33.974612934408825,372.0,1
400171.0,APRIL,0.0,1106.0,1
400171.0,MAY,0.0,1106.0,1
400171.0,JUNE,0.0,1106.0,1
400171.0,JULY,0.0,1106.0,1
400172.0,APRIL,0.0,730.0,1
400172.0,MAY,0.0,730.0,1
400172.0,JUNE,0.0,730.0,1
400172.0,JULY,0.0,730.0,1
400173.0,APRIL,0.0,1461.0,1
400173.0,MAY,0.0,1461.0,1
400173.0,JUNE,0.0,1461.0,1
400173.0,JULY,0.0,1461.0,1
400174.0,APRIL,69.4664461658978,3648.0,1
400174.0,MAY,69.4664461658978,3648.0,1
400174.0,JUNE,69.4664461658978,-4.0,0
400174.0,JULY,69.4664461658978,-4.0,0
400177.0,APRIL,0.0,365.0,1
400177.0,MAY,0.0,365.0,1
400177.0,JUNE,0.0,730.0,1
400177.0,JULY,0.0,730.0,1
400178.0,APRIL,0.0,,0
400178.0,MAY,0.0,,0
400178.0,JUNE,0.0,,0
400178.0,JULY,0.0,,0
400180.0,APRIL,0.0,1461.0,1
400180.0,MAY,0.0,1461.0,1
400180.0,JUNE,0.0,1461.0,1
400180.0,JULY,0.0,1461.0,1
400181.0,APRIL,-0.0019893371528588574,,0
400181.0,MAY,-0.0019893371528588574,,0
400181.0,JUNE,-0.0019893371528588574,,0
400181.0,JULY,-0.0019893371528588574,,0
400182.0,APRIL,-0.0018685302141318633,1096.0,1
400183.0,APRIL,0.0,,0
400183.0,MAY,0.0,,0
400183.0,JUNE,0.0,,0
400183.0,JULY,0.0,,0
400185.0,APRIL,-27.42713745768573,,0
400185.0,MAY,-27.42713745768573,,0
400185.0,JUNE,-27.42713745768573,,0
400185.0,JULY,-27.42713745768573,,0
400186.0,APRIL,-0.0013349708976332173,,0
400186.0,MAY,-0.0013349708976332173,,0
400186.0,JUNE,-0.0013349708976332173,,0
400186.0,JULY,-0.0013349708976332173,,0
400187.0,APRIL,0.0,,0
400187.0,MAY,0.0,,0
400187.0,JUNE,0.0,,0
400187.0,JULY,0.0,,0
400188.0,APRIL,-0.0273972602739726,0.0,0
400188.0,MAY,-0.0273972602739726,0.0,0
400188.0,JUNE,-0.0273972602739726,0.0,0
400188.0,JULY,-0.0273972602739726,0.0,0
400192.0,APRIL,0.0,0.0,0
400192.0,MAY,0.0,0.0,0
400192.0,JUNE,0.0,0.0,0
400192.0,JULY,0.0,7.0,1
400203.0,APRIL,44.61517476960303,-4.0,0
400203.0,MAY,44.61517476960303,-4.0,0
400203.0,JUNE,44.61517476960303,-4.0,0
400203.0,JULY,44.61517476960303,-4.0,0
400204.0,APRIL,0.0,0.0,0
400204.0,MAY,0.0,0.0,0
400204.0,JUNE,0.0,0.0,0
400204.0,JULY,0.0,0.0,0
400205.0,APRIL,0.0,0.0,0
400205.0,MAY,0.0,0.0,0
400205.0,JUNE,0.0,0.0,0
400205.0,JULY,0.0,0.0,0
400220.0,APRIL,24.322749590834693,2925.0,1
400220.0,MAY,24.322749590834693,2925.0,1
400220.0,JUNE,24.322749590834693,2925.0,1
400220.0,JULY,24.322749590834693,2925.0,1
400223.0,APRIL,37.58765778401122,365.0,1
400223.0,MAY,37.58765778401122,365.0,1
400223.0,JUNE,37.58765778401122,365.0,1
400223.0,JULY,145.2384291725105,1095.0,1
400231.0,APRIL,0.00014698878769848307,,0
400231.0,MAY,0.00014698878769848307,,0
400231.0,JUNE,0.00014698878769848307,,0
400231.0,JULY,0.0,,0
400232.0,APRIL,0.0,0.0,0
400232.0,MAY,0.0,0.0,0
400232.0,JUNE,0.0,0.0,0
400232.0,JULY,-0.16498316498316803,0.0,0
400247.0,APRIL,0.0,366.0,1
400247.0,MAY,0.0,366.0,1
400247.0,JUNE,0.0,366.0,1
400247.0,JULY,115.39099999999998,366.0,1
400253.0,APRIL,38.8696647928378,365.0,1
400253.0,MAY,38.8696647928378,365.0,1
400253.0,JUNE,38.8696647928378,365.0,1
400254.0,APRIL,0.0,1087.0,1
400254.0,MAY,0.0,1087.0,1
400254.0,JUNE,0.0,1087.0,1
400254.0,JULY,9.147170837867247,1087.0,1
400259.0,APRIL,26.355451391708932,2184.0,1
400261.0,APRIL,8.752946218127276,1460.0,1
400261.0,MAY,8.752946218127276,1462.0,1
400261.0,JUNE,8.752946218127276,1462.0,1
400261.0,JULY,8.752946218127276,1462.0,1
400271.0,APRIL,0.0,374.0,1
400271.0,MAY,0.0,374.0,1
400271.0,JUNE,0.0,374.0,1
400273.0,APRIL,29.68881412952061,2556.0,1
400273.0,MAY,29.68881412952061,2556.0,1
400273.0,JUNE,29.68881412952061,2556.0,1
400273.0,JULY,58.01682085786375,2556.0,1
400275.0,APRIL,0.0,1089.0,1
400275.0,MAY,0.0,1089.0,1
400275.0,JUNE,0.0,1089.0,1
400275.0,JULY,0.009363811622146669,4377.0,1
400277.0,APRIL,0.0,730.0,1
400277.0,MAY,0.0,730.0,1
400277.0,JUNE,0.0,730.0,1
400280.0,APRIL,0.0013623978201622487,2.0,1
400280.0,MAY,0.0013623978201622487,2.0,1
400280.0,JUNE,0.0013623978201622487,2.0,1
400280.0,JULY,0.0013623978201622487,2.0,1
400291.0,APRIL,13.152926368785401,2558.0,1
