MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,ORIGINAL_DURATION_DAYS,PROGRESS_CHANGE,EXPENDITURE_CHANGE,COST_OVERRUN_PCT
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,206.54,0.0,65.14,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,545.64,0.0,97.25,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,545.64,0.0,97.25,730.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,512.98,152.49,46.0,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,512.98,151.45,46.0,731.0,0.0,-1.0400000000000205,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,512.98,117.6,41.8,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,512.98,117.6,41.97,731.0,0.1700000000000017,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,606.61,304.62,63.52,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,606.61,0.0,60.39,731.0,-3.1300000000000026,-304.62,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,606.61,0.0,52.5,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,606.61,0.0,55.23,731.0,2.729999999999997,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,838.43,55.04,0.0,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,838.43,55.04,0.0,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,369.39,333.1,86.3,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,369.39,333.1,86.3,371.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,369.39,323.75,86.3,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,369.39,330.37,86.3,371.0,0.0,6.6200000000000045,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,196.05,0.0,30.0,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,196.05,72.94,75.0,725.0,45.0,72.94,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,196.05,0.0,71.0,725.0,-4.0,-72.94,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,196.05,0.0,71.0,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,181.45,0.0,87.0,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,181.45,60.25,87.0,725.0,0.0,60.25,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,181.45,0.0,87.0,725.0,0.0,-60.25,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,181.45,0.0,87.0,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,407.2,0.0,91.89,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,407.2,0.0,91.89,730.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,407.2,0.0,91.89,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,407.2,0.0,91.89,730.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,167.97,0.0,93.75,724.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,167.97,0.0,93.75,724.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,167.97,0.0,93.75,724.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,167.97,0.0,93.75,724.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,164.13,98.68,100.0,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,164.13,98.68,100.0,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,881.61,0.0,37.95,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,881.61,0.0,37.95,730.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,881.61,0.0,36.82,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,881.61,0.0,37.95,730.0,1.1300000000000026,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,279.29,155.02,88.25,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,279.29,168.7,90.33,725.0,2.0799999999999983,13.679999999999978,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,279.29,168.7,90.33,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,279.29,159.13,90.33,725.0,0.0,-9.569999999999993,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,886.69,620.25,90.05,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,886.69,620.25,86.74,731.0,-3.3100000000000023,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,886.69,573.13,85.66,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,886.69,584.84,86.74,731.0,1.0799999999999983,11.710000000000036,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,631.49,125.34,46.63,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,631.49,125.34,30.8,731.0,-15.830000000000002,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,631.49,92.56,30.8,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,631.49,92.56,30.8,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,703.68,304.65,90.69,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,703.68,304.65,90.69,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,703.68,279.58,90.69,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,703.68,279.83,90.69,731.0,0.0,0.25,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,1155.21,32.09,11.0,1089.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,1155.21,421.58,23.0,1089.0,12.0,389.49,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,1155.21,378.6,16.0,1089.0,-7.0,-42.97999999999996,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,1155.21,63.35,16.0,1089.0,0.0,-315.25,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,237.28,41.55,64.5,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,237.28,0.0,63.0,731.0,-1.5,-41.55,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,237.28,0.0,63.0,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,237.28,0.0,63.0,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,355.72,217.46,88.33,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,355.72,215.43,88.33,730.0,0.0,-2.030000000000001,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,355.72,184.79,76.86,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,355.72,184.79,88.33,730.0,11.469999999999999,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,307.11,125.88,0.0,724.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,307.11,125.88,0.0,724.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,403.36,142.17,96.0,725.0,,,-14.384172947243169
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,403.36,0.0,96.0,725.0,0.0,-142.17,-14.384172947243169
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,403.36,0.0,94.0,725.0,,,-14.384172947243169
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,403.36,0.0,94.0,725.0,0.0,0.0,-14.384172947243169
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,912.5,8.72,8.0,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,912.5,1.9,7.000000000000001,371.0,-0.9999999999999991,-6.82,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,912.5,0.0,3.0,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,912.5,1.9,4.0,371.0,1.0,1.9,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,587.97,80.16,50.72,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,587.97,61.19,43.46,371.0,-7.259999999999998,-18.97,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,587.97,37.42,28.000000000000004,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,587.97,47.45,39.0,371.0,10.999999999999996,10.030000000000001,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1192.33,0.0,4.0,736.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1192.33,0.0,4.0,736.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1192.33,0.0,0.0,736.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1192.33,0.0,2.0,736.0,2.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1679.75,66.99,25.4,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1679.75,172.89,40.45,730.0,15.050000000000004,105.89999999999999,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1679.75,142.53,40.45,730.0,0.0,-30.359999999999985,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1679.75,97.67,34.5,730.0,-5.950000000000003,-44.86,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,154.89,11.94,23.0,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,154.89,15.13,23.0,725.0,0.0,3.1900000000000013,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,154.89,15.13,23.0,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,154.89,14.8,23.0,725.0,0.0,-0.33000000000000007,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,174.34,63.55,100.0,370.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,174.34,63.55,100.0,370.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,472.23,0.0,60.0,1090.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,472.23,0.0,67.0,1090.0,7.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,472.23,0.0,65.0,1090.0,-2.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,472.23,0.0,60.0,1090.0,-5.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1060.16,0.0,0.0,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1060.16,0.22,4.0,730.0,4.0,0.22,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1060.16,0.0,4.0,730.0,0.0,-0.22,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1060.16,0.0,0.0,730.0,-4.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,427.29,198.23,93.0,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,427.29,198.15,93.0,371.0,0.0,-0.07999999999998408,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,427.29,178.43,93.0,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,427.29,178.43,93.0,371.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,172.09,0.0,20.25,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,172.09,7.42,34.0,731.0,13.75,7.42,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,172.09,0.0,32.0,731.0,-2.0,-7.42,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,172.09,0.0,32.0,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,423.18,5.46,0.01,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,423.18,4.11,0.0,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,423.18,4.11,0.0,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,343.54,88.97,73.0,372.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,343.54,84.43,65.0,372.0,-8.0,-4.539999999999992,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,343.54,75.71,65.0,372.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,343.54,83.27,65.0,372.0,0.0,7.560000000000002,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,228.32,44.45,100.0,724.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,228.32,44.94,100.0,724.0,0.0,0.4899999999999949,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,228.32,0.0,100.0,724.0,0.0,-44.94,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,228.32,44.45,100.0,724.0,0.0,44.45,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,479.37,0.0,57.99999999999999,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,479.37,67.37,58.75,731.0,0.7500000000000071,67.37,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,479.37,67.37,58.1,731.0,-0.6499999999999986,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,479.37,11.75,57.99999999999999,731.0,-0.10000000000000853,-55.620000000000005,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,255.73,0.0,8.5,724.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,255.73,10.06,15.0,724.0,6.5,10.06,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,255.73,10.06,10.4,724.0,-4.6,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,255.73,10.06,10.4,724.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,467.93,0.0,86.03,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,467.93,167.65,99.15,731.0,13.120000000000005,167.65,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,467.93,0.0,86.03,731.0,-13.120000000000005,-167.65,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,467.93,0.0,86.03,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,490.92,0.0,75.38,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,490.92,149.79,79.07,731.0,3.6899999999999977,149.79,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,490.92,0.0,77.79,731.0,-1.279999999999987,-149.79,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,490.92,0.0,76.02,731.0,-1.7700000000000102,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,206.13,152.77,98.57,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,206.13,152.77,98.57,730.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,280.57,144.61,67.39,729.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,280.57,0.0,65.0,729.0,-2.3900000000000006,-144.61,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,280.57,0.0,61.61,729.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,280.57,0.0,65.0,729.0,3.3900000000000006,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,459.39,0.0,69.15,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,459.39,132.28,81.42,731.0,12.269999999999996,132.28,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,459.39,0.0,81.42,731.0,0.0,-132.28,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,459.39,0.0,79.86999999999999,731.0,-1.5500000000000114,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,224.44,0.0,91.0,372.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,224.44,0.0,91.0,372.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,540.35,158.38,68.23,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,540.35,139.11,63.67,730.0,-4.560000000000002,-19.269999999999982,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,540.35,95.57,49.89,730.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,540.35,139.12,56.55,730.0,6.659999999999997,43.55000000000001,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,349.57,0.0,41.13,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,349.57,0.0,54.04,371.0,12.909999999999997,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,349.57,0.0,54.04,371.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,349.57,0.0,49.75,371.0,-4.289999999999999,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,355.12,0.0,43.46,370.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,355.12,0.0,43.46,370.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,355.12,0.0,43.46,370.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,355.12,0.0,43.46,370.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,445.76,18.32,10.8,729.0,,,0.0
