MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,ORIGINAL_DURATION_DAYS,PROGRESS_CHANGE,EXPENDITURE_CHANGE,COST_OVERRUN_PCT
MINISTRY OF COAL,COAL,JHARKHAND,EASTERN COAL FIELDS LIMITED [ECL],859.41,455.95,63.3,2552.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,ECL - CIL,859.41,455.95,63.3,2552.0,0.0,0.0,0.0
MINISTRY OF COAL,COAL,JHARKHAND,ECL - CIL,859.41,455.25,63.22,2552.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,ECL - CIL,859.41,455.25,63.22,2552.0,0.0,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,492.76,560.32,38.0,1104.0,,,137.60654273885865
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,492.76,519.29,25.0,1104.0,,,137.60654273885865
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,492.76,542.26,25.0,1104.0,0.0,22.970000000000027,137.60654273885865
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",CAOC/NWR NWR MOR,2798.0,1953.58,48.0,2559.0,,,14.30164403145103
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",NORTH WESTERN RAILWAY [NWR],2798.0,2616.51,45.0,2922.0,-3.0,662.9300000000003,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",NORTH WESTERN RAILWAY [NWR],2798.0,2439.32,37.0,2922.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",NORTH WESTERN RAILWAY [NWR],2798.0,2569.32,37.0,2922.0,0.0,130.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,3.43,0.5,1087.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,3.43,0.5,1087.0,0.0,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,0.94,0.3,1087.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,0.94,0.0,1087.0,-0.3,0.0,0.0
MINISTRY OF COAL,COAL,MAHARASHTRA,WCL - CIL,580.61,112.17,34.25,2189.0,,,0.0
MINISTRY OF COAL,COAL,MAHARASHTRA,WCL - CIL,580.61,112.17,33.910000000000004,2189.0,-0.3399999999999963,0.0,0.0
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],580.61,112.17,33.910000000000004,2189.0,,,0.0
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],580.61,112.17,33.910000000000004,2189.0,0.0,0.0,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TRIPURA,INDIAN OIL CORPORATION LIMITED [IOCL],656.0,537.17,97.0,1099.0,,,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TRIPURA,INDIAN OIL CORPORATION LIMITED [IOCL],656.0,541.81,97.7,1099.0,0.7000000000000028,4.639999999999986,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRYOFPETROLEUMNATURALGAS,829.0,382.47,81.0,1465.0,,,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRY OF PETROLEUM & NATURAL GAS,829.0,382.96,79.60000000000001,1465.0,-1.3999999999999915,0.48999999999995225,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRY OF PETROLEUM & NATURAL GAS,829.0,350.21,76.2,1465.0,,,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRY OF PETROLEUM & NATURAL GAS,829.0,378.18,78.0,1465.0,1.7999999999999972,27.970000000000027,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,1092.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,1092.0,0.0,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,1092.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,1092.0,0.0,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,210.0,41.17,53.0,736.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,210.0,41.17,53.0,736.0,0.0,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,210.0,39.31,52.0,736.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,210.0,40.56,52.0,736.0,0.0,1.25,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,186.21,105.07,88.0,736.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,186.21,105.07,88.0,736.0,0.0,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,186.21,100.97,88.0,736.0,,,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,186.21,103.1,88.0,736.0,0.0,2.1299999999999955,0.0
MINISTRY OF POWER,ELECTRICITY GENERATION,WEST BENGAL,DAMODAR VALLEY CORPORATION,17673.0,2268.62,13.0,1467.0,,,0.0
MINISTRY OF POWER,ELECTRICITY GENERATION,WEST BENGAL,DAMODAR VALLEY CORPORATION,17673.0,2120.39,11.5,1465.0,-1.5,-148.23000000000002,0.0
MINISTRY OF POWER,ELECTRICITY GENERATION,WEST BENGAL,DAMODAR VALLEY CORPORATION,17673.0,1950.25,9.4,1465.0,,,0.0
MINISTRY OF POWER,ELECTRICITY GENERATION,WEST BENGAL,DAMODAR VALLEY CORPORATION,17673.0,2043.87,10.0,1465.0,0.5999999999999996,93.61999999999989,0.0
MINISTRY OF COAL,COAL,JHARKHAND,CCL - CIL,674.65,175.59,50.78,3712.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,CCL - CIL,674.65,172.3,50.78,3712.0,0.0,-3.289999999999992,0.0
MINISTRY OF COAL,COAL,JHARKHAND,MINISTRY OF COAL,799.34,433.64,53.47,3712.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,MINISTRY OF COAL,674.65,433.64,46.25,3712.0,-7.219999999999999,0.0,0.0
MINISTRY OF COAL,COAL,JHARKHAND,CCL - CIL,849.31,237.61,23.28,2559.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,CCL - CIL,849.31,208.28,23.28,2559.0,0.0,-29.330000000000013,0.0
MINISTRY OF COAL,COAL,JHARKHAND,MINISTRY OF COAL,908.47,289.45,23.57,2559.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,MINISTRY OF COAL,849.31,289.45,22.38,2559.0,-1.1900000000000013,0.0,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,"MULTI-STATES (GUJARAT, HARYANA, RAJASTHAN)",MINISTRY OF PETROLEUM & NATURAL GAS,9028.0,7482.71,94.1,1095.0,,,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,"MULTI-STATES (GUJARAT, HARYANA, RAJASTHAN)",MINISTRY OF PETROLEUM & NATURAL GAS,9028.0,7160.82,91.4,1095.0,,,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,"MULTI-STATES (GUJARAT, HARYANA, RAJASTHAN)",MINISTRY OF PETROLEUM & NATURAL GAS,9028.0,7456.3,92.7,1095.0,1.2999999999999972,295.4800000000005,0.0
DEPARTMENT OF SPORTS,EDUCATION,MANIPUR,DEPARTMENT OF SPORTS & YOUTH AFFAIRS,906.47,577.32,97.5,737.0,,,-32.51403797147175
DEPARTMENT OF SPORTS,EDUCATION,MANIPUR,DEPARTMENT OF SPORTS & YOUTH AFFAIRS,906.47,576.37,97.25,737.0,-0.25,-0.9500000000000455,-32.51403797147175
DEPARTMENT OF SPORTS,EDUCATION,MANIPUR,DEPARTMENT OF SPORTS & YOUTH AFFAIRS,906.47,574.12,97.0,737.0,,,-32.51403797147175
DEPARTMENT OF SPORTS,EDUCATION,MANIPUR,DEPARTMENT OF SPORTS & YOUTH AFFAIRS,906.47,575.68,97.05,737.0,0.04999999999999716,1.5599999999999454,-32.51403797147175
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],885.63,1062.32,95.6,2186.0,,,52.163996251256165
