PROJECT_ID,MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
400019.0,MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,492.76,560.32,38.0,2023-01-04,2026-01-12,13.0,18.06000000000006
400022.0,MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",NORTH WESTERN RAILWAY [NWR],2798.0,2439.32,37.0,2022-01-07,2030-01-07,,
400022.0,MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",NORTH WESTERN RAILWAY [NWR],2798.0,2569.32,37.0,2022-01-07,2030-01-07,0.0,130.0
400022.0,MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",NORTH WESTERN RAILWAY [NWR],2798.0,2616.51,45.0,2022-01-07,2030-01-07,8.0,47.190000000000055
400022.0,MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (GUJARAT, RAJASTHAN)",CAOC/NWR NWR MOR,2798.0,1953.58,48.0,2023-01-05,2030-01-07,3.0,-662.9300000000003
400023.0,MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,0.94,0.3,2025-01-12,2028-01-04,,
400023.0,MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,0.94,0.0,2025-01-12,2028-01-04,-0.3,0.0
400023.0,MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,3.43,0.5,2025-01-12,2028-01-04,0.5,2.49
400023.0,MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,749.0,3.43,0.5,2025-01-12,2028-01-04,0.0,0.0
400033.0,MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],580.61,112.17,33.910000000000004,2022-01-05,2028-01-03,,
400033.0,MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],580.61,112.17,33.910000000000004,2022-01-05,2028-01-03,0.0,0.0
400033.0,MINISTRY OF COAL,COAL,MAHARASHTRA,WCL - CIL,580.61,112.17,33.910000000000004,2022-01-05,2028-01-03,0.0,0.0
400033.0,MINISTRY OF COAL,COAL,MAHARASHTRA,WCL - CIL,580.61,112.17,34.25,2022-01-05,2028-01-03,0.3399999999999963,0.0
400035.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TRIPURA,INDIAN OIL CORPORATION LIMITED [IOCL],656.0,537.17,97.0,2022-01-06,2025-01-09,,
400035.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TRIPURA,INDIAN OIL CORPORATION LIMITED [IOCL],656.0,541.81,97.7,2022-01-06,2025-01-09,0.7000000000000028,4.639999999999986
400043.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRY OF PETROLEUM & NATURAL GAS,829.0,350.21,76.2,2022-01-01,2026-01-05,,
400043.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRY OF PETROLEUM & NATURAL GAS,829.0,378.18,78.0,2022-01-01,2026-01-05,1.7999999999999972,27.970000000000027
400043.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRY OF PETROLEUM & NATURAL GAS,829.0,382.96,79.60000000000001,2022-01-01,2026-01-05,1.6000000000000085,4.779999999999973
400043.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,TAMIL NADU,MINISTRYOFPETROLEUMNATURALGAS,829.0,382.47,81.0,2022-01-01,2026-01-05,1.3999999999999915,-0.48999999999995225
400045.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,2022-01-07,2025-01-03,,
400045.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,2022-01-07,2025-01-03,0.0,0.0
400045.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,2022-01-07,2025-01-03,0.0,0.0
400045.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,168.32,69.85,82.0,2022-01-07,2025-01-03,0.0,0.0
400047.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,210.0,39.31,52.0,2022-01-06,2024-01-12,,
