MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,341.63,10.9,5.1,2026-01-04,2026-01-10,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1418.16,143.72,0.0,2026-01-07,2028-01-07,,
MINISTRY OF RAILWAYS,RAILWAYS,TAMIL NADU,CAOC/SR SR MOR,601.43,351.21,14.000000000000002,2016-01-06,2021-01-07,,
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",CPM/KOTA WCR MOR,3032.0,4498.51,86.0,2001-01-08,2025-01-12,,
DEPARTMENT FOR PROMOTION OF INDUSTRY & INTERNAL TRADE,REAL ESTATE,PUNJAB,NATIONAL INDUSTRIAL CORRIDOR DEVELOPMENT CORPORATION,1367.72,0.0,3.4000000000000004,2026-01-03,2028-01-09,,
DEPARTMENT FOR PROMOTION OF INDUSTRY & INTERNAL TRADE,REAL ESTATE,UTTARAKHAND,NATIONAL INDUSTRIAL CORRIDOR DEVELOPMENT CORPORATION,1265.37,0.0,3.2300000000000004,2026-01-03,2028-01-09,,
MINISTRY OF STEEL,STEEL,ODISHA,STEEL AUTHORITY OF INDIA LIMITED (SAIL,1140.07,207.56,22.59,2024-01-10,2028-01-03,,
MINISTRY OF STEEL,STEEL,ODISHA,STEEL AUTHORITY OF INDIA LIMITED (SAIL,2584.41,1182.92,54.16,2024-01-10,2028-01-03,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,837.0,83.68,0.0,2026-01-03,2029-01-03,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1245.0,0.0,26.58,2025-01-02,2028-01-02,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,4943.0,562.13,8.4,2025-01-05,2028-01-05,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1674.0,223.41,15.13,2025-01-02,2028-01-02,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1168.0,123.28,0.61,2025-01-06,2028-01-06,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,832.0,83.16,0.0,2026-01-03,2029-01-03,,
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,RAJASTHAN,JAIPUR METRO RAIL CORPORATION,13037.66,1.79,1.79,2026-01-04,2031-01-10,,
MINISTRY OF POWER,ELECTRICITY GENERATION,UTTAR PRADESH,NATIONAL THERMAL POWER CORPORATION [NTPC],38358.0,1002.73,0.02,2026-01-06,2032-12-01,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1713.0,0.0,0.0,2026-01-07,2029-01-07,,
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED (SAIL,999.46,70.37,18.72,2025-01-02,2028-01-07,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,160.0,0.0,0.0,2026-01-06,2029-01-06,,
MINISTRY OF STEEL,STEEL,CHHATTISGARH,STEEL AUTHORITY OF INDIA LIMITED (SAIL,192.21,63.8,48.010000000000005,2025-01-06,2026-01-12,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,2839.0,283.93,0.0,2026-01-03,2029-01-03,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1550.0,222.77,17.76,2025-01-03,2028-01-03,,
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (CHHATTISGARH, MAHARASHTRA)",CAOC/SECR SECR MOR,169.06,65.43,10.0,2023-01-03,2026-01-11,,
DEPARTMENT FOR PROMOTION OF INDUSTRY & INTERNAL TRADE,REAL ESTATE,BIHAR,NATIONAL INDUSTRIAL CORRIDOR DEVELOPMENT CORPORATION,1339.02,0.0,5.0,2026-01-04,2029-01-04,,
MINISTRY OF RAILWAYS,RAILWAYS,ANDHRA PRADESH,CAO/C/SCOR SCOR MOR,351.83,149.34,0.0,2024-01-11,2027-01-03,,
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,CAO/C/ECOR ECOR MOR,2344.0,736.58,6.0,2026-01-04,2033-07-01,,
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED (SAIL,706.51,132.26,11.87,2025-01-02,2028-01-07,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1621.0,170.05,8.28,2025-01-06,2028-01-06,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,768.0,0.0,0.0,2025-01-04,2029-01-04,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1292.0,148.93,23.18,2025-01-02,2028-01-02,,
MINISTRY OF STEEL,STEEL,ODISHA,STEEL AUTHORITY OF INDIA LIMITED (SAIL,1064.55,73.91,0.0,2026-01-02,2028-01-08,,
MINISTRY OF STEEL,STEEL,CHHATTISGARH,STEEL AUTHORITY OF INDIA LIMITED (SAIL,268.36,0.0,0.0,2026-01-03,2028-01-03,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,22174.56,20691.72,93.33,2017-01-11,2023-01-05,,
MINISTRY OF STEEL,STEEL,ODISHA,STEEL AUTHORITY OF INDIA LIMITED (SAIL,216.02,134.29,89.83,2025-01-03,2026-01-09,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,647.2,9.24,0.0,2026-01-07,2028-01-07,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,675.45,0.0,0.0,2026-01-07,2028-01-07,,
MINISTRY OF STEEL,STEEL,ODISHA,STEEL AUTHORITY OF INDIA LIMITED (SAIL,155.26,56.24,71.75,2025-01-07,2027-01-08,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,765.0,94.95,1.63,2025-01-06,2028-01-06,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1821.0,209.87,20.54,2025-01-05,2028-01-05,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,174.21,6.43,0.0,2026-01-06,2027-01-12,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,NHAI,252.97,0.14,0.0,2026-01-06,2027-01-09,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,1344.78,785.93,97.69,2022-01-01,2024-01-07,0.0,-51.74000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,CHHATTISGARH,NHAI,865.1,851.38,93.1,2020-01-12,2022-01-12,0.0,-2.4700000000000277
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1877.47,1182.65,94.9,2023-01-01,2025-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1103.86,956.43,97.32,2020-01-03,2022-01-03,-0.8000000000000114,-0.0100000000001045
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,GUJARAT,ADANI TRANSMISSION LIMITED,19000.0,20.0,1.0,2025-01-12,2029-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,2010.2,708.28,37.27,2024-01-03,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,768.35,503.02,99.5,2023-01-12,2025-01-12,0.0,-6.300000000000011
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,645.0,54.13,56.89999999999999,2025-01-08,2025-01-08,18.89999999999999,-174.3
MINISTRY OF RAILWAYS,RAILWAYS,RAJASTHAN,NORTH WESTERN RAILWAY [NWR],304.0,93.09,77.0,2023-01-01,2026-01-03,5.0,-94.98
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1644.92,1848.87,97.94,2014-01-03,2016-01-08,0.0,-0.6400000000001
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,MUMBAI RAIL VIKAS CORPORATION LTD.[MRVC],10947.0,6880.48,75.0,2016-01-12,2022-01-03,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NHAI,1801.37,1268.39,64.60000000000001,2024-01-06,2026-01-06,-1.9299999999999928,0.0
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,SIKKIM,"MEDICAL EDUCATION, MINISTRY OF HEALTH AND FAMILY WELFARE",250.0,667.21,92.0,2018-01-12,2026-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,917.26,512.57,75.61,2024-01-03,2026-01-03,-3.140000000000001,-7.809999999999945
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,NHIDCL,497.09,270.8,99.97,2021-01-08,2023-01-02,0.0,-0.0199999999999818
MINISTRY OF STEEL,STEEL,CHHATTISGARH,NATIONAL MINERAL DEVELOPMENT CORPORATION LIMITED [NMDC],2907.0,3639.5,95.2,2020-01-09,2023-01-06,-0.5999999999999943,-9.579999999999927
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1311.41,227.3,13.18,2025-01-09,2027-01-09,-1.8200000000000005,-0.4299999999999784
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,1764.86,558.32,41.25,2024-01-09,2026-01-09,-1.5,-13.089999999999918
