MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,MAHARASHTRA,MINISTRY OF PETROLEUM & NATURAL GAS,13626.0,81.87,6.1,2025-01-05,2029-01-09,-1.0999999999999996,-11.72999999999999
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (JHARKHAND, ODISHA)",SOUTH EASTERN RAILWAY - JH,3029.0,2649.22,94.0,2017-01-02,2025-01-06,-1.0,-47.10000000000037
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ODISHA, WEST BENGAL)",SOUTH EASTERN RAILWAY [SER] - I,2400.0,2713.19,82.0,2017-01-03,2025-01-12,-2.0,-172.82999999999993
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,KARNATAKA,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],1111.0,13.44,1.0,2026-01-02,2028-01-02,0.0,-8.78
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1659.81,670.56,82.72,2022-01-03,2024-01-03,0.0,-14.920000000000073
MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,RAJASTHAN,AIRPORT AUTHORITY OF INDIA [AAI],1507.0,71.13,13.3,2025-01-10,2027-01-10,-0.2999999999999989,-10.28
MINISTRY OF RAILWAYS,RAILWAYS,ASSAM,NORTHEAST FRONTIER RAILWAY [NFR],4060.0,3831.06,95.16,2016-01-09,2026-01-03,4.159999999999997,9.099999999999907
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,363.89,0.38,0.0,2026-01-07,2029-01-01,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, ODISHA)",EAST COAST RAILWAY [ECOR] - II,2500.0,2217.87,73.0,2016-01-01,2022-01-03,-1.0,-82.17000000000007
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,1335.45,1253.61,98.06,2022-01-09,2024-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1097.57,466.89,82.05,2023-01-08,2025-01-08,-2.8700000000000045,-0.0099999999999909
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,2362.0,2007.83,67.67,2015-01-12,2027-01-12,11.669999999999996,-85.63999999999987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,910.91,0.0,0.0,2026-01-07,2029-01-01,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,1000.0,478.83,59.0,2015-01-12,2018-01-11,34.0,-279.74000000000007
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,907.76,468.12,91.97,2023-01-07,2025-01-07,-0.3700000000000045,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MAHARASHTRA,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],3626.24,4.48,1.88,2025-01-07,2029-01-07,-0.52,-11.69
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,1173.0,2138.09,90.0,2015-01-12,2026-01-03,4.0,-75.62999999999965
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHAI,622.04,623.69,96.71,2018-01-12,2021-01-12,0.0,-4.389999999999986
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,516.17,0.0,49.34,2025-01-10,2027-01-10,-6.280000000000001,0.0
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,519.0,412.58,100.0,2015-01-12,2025-01-03,8.0,-334.23
MINISTRY OF RAILWAYS,RAILWAYS,GUJARAT,WESTERN RAILWAY [WR] - II,1456.77,0.28,0.0,2025-01-12,2028-01-12,,
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,1216.0,2102.51,93.0,2017-01-03,2025-01-12,2.0,642.0900000000001
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,1586.0,1509.67,99.0,2017-01-03,2024-01-06,0.0,-45.21000000000004
MINISTRY OF POWER,ELECTRICITY GENERATION,MADHYA PRADESH,NATIONAL THERMAL POWER CORPORATION [NTPC],20446.0,2141.47,10.0,2025-01-05,2030-01-03,-1.5,-188.2900000000004
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (BIHAR, UTTAR PRADESH)",NORTH EASTERN RAILWAY [NER],963.0,918.18,96.0,2015-01-12,2025-01-02,1.0,-81.87
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,441.41,0.0,0.0,2026-01-06,2028-01-06,-14.69,-25.88
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,929.91,398.91,92.3,2023-01-12,2025-01-12,-4.450000000000003,0.0
MINISTRY OF RAILWAYS,RAILWAYS,UTTAR PRADESH,NORTH EASTERN RAILWAY [NER],1016.0,1058.77,88.5,2019-01-07,2025-01-03,-11.5,281.55999999999995
"MINISTRY OF PORTS, SHIPPING AND WATERWAYS",SHIPPING,WEST BENGAL,SYAMA PRASAD MOOKERJEE PORT KOLKATA,832.25,0.0,0.0,2027-01-02,2028-01-08,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,920.47,421.6,91.0,2023-01-12,2025-01-12,-7.219999999999999,-2.849999999999966
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,138.48,1039.72,60.0,1999-03-01,2027-01-03,0.0,-92.52999999999996
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,362420,2175.35,1377.13,43.45,2022-01-11,2024-01-11,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (ANDHRA PRADESH, ODISHA)",NHAI,1216.12,697.95,99.63,2022-01-03,2024-01-03,0.0,-5.379999999999996
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,290.15,141.83,91.9,2017-01-05,2019-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,294.13,244.16,88.22,2018-01-06,2019-01-11,0.0,-5.069999999999993
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,300.0,175.12,99.2,2017-01-05,2019-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,177.94,115.6,83.0,2023-01-02,2025-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,170.34,106.96,100.0,2022-01-10,2024-01-02,0.0,-4.3700000000000045
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,216.53,172.02,92.1,2021-01-06,2023-01-06,0.0,-0.1499999999999772
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,154.49,25.17,90.0,2023-01-06,2024-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,179.86,2.37,2.0,2026-01-06,2027-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,178.85,0.0,98.65,2016-01-05,2018-01-05,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,319.96,0.0,95.0,2020-01-10,2022-01-04,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,MORTH,546.67,0.0,45.0,2025-01-05,2026-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,411.44,85.69,91.36,2022-01-05,2024-01-05,-1.4099999999999966,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,186.52,46.39,60.0,2024-01-02,2026-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,1318.59,464.06,90.19,2023-01-11,2025-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,157.32,103.33,69.0,2019-01-05,2021-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,365.21,0.0,89.0,2023-01-05,2025-01-05,-2.0,-200.67
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,776.17,0.0,35.6,2025-01-07,2027-01-07,-6.379999999999996,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,292.63,0.0,95.77,2024-01-12,2026-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,566.1,292.35,95.1,2022-01-11,2024-01-11,21.89,-1.5399999999999636
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,MORTH,271.17,216.61,85.08,2016-01-11,2018-01-11,-0.480000000000004,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1408.85,0.0,97.0,2016-01-11,2019-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,MORTH,238.97,126.43,94.0,2024-01-09,2026-01-08,0.0,-0.1299999999999954
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,296.02,0.0,33.0,2025-01-01,2027-01-01,-6.0,-75.38
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,309.63,38.08,31.0,2024-01-11,2026-01-11,-0.0899999999999998,-3.8400000000000034
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,195.38,0.0,90.5,2023-01-01,2024-01-07,-2.950000000000003,-105.76
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,780.77,0.04,99.74,2016-01-10,2019-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,418.89,0.0,95.0,2018-01-02,2020-01-02,0.0,-426.18
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,201.08,0.01,62.0,2024-01-07,2026-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,530.2,58.29,90.0,2024-01-06,2026-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,631.76,187.59,85.0,2025-01-05,2027-01-05,0.0,-25.590000000000003
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,533.76,0.0,72.05,2025-01-05,2027-01-05,-2.240000000000009,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,626.76,19.3,53.010000000000005,2018-01-07,2020-01-07,-1.249999999999993,-5.099999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,317.19,190.76,90.0,2022-01-07,2024-01-07,-1.0,-0.1000000000000227
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,317.22,0.0,75.2,2023-01-05,2025-01-05,0.0,-158.64
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,529.54,0.0,74.41,2021-01-11,2023-01-11,0.0,-248.31
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,691.81,0.0,46.45,2025-01-09,2027-01-09,-3.259999999999998,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,386.49,164.41,67.57,2023-01-02,2025-01-02,0.0,-0.4300000000000068
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,173.06,22.63,74.0,2024-01-02,2025-01-08,-3.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,509.65,115.2,60.0,2024-01-03,2025-01-09,-2.0,-5.36999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,189.31,0.0,52.0,2023-01-11,2025-01-05,-2.0,-31.42
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,328.11,0.0,34.150000000000006,2024-01-02,2025-01-08,0.0,-111.48
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,315.21,143.35,87.0,2023-01-01,2024-01-07,-2.0,-18.81
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,262.37,115.38,94.0,2023-01-03,2024-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,316.44,0.0,34.1,2024-01-03,2025-01-09,-3.1000000000000014,-49.78
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,283.86,38.69,48.0,2025-01-02,2027-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1086.3,0.0,9.0,2025-01-11,2027-01-11,-0.3200000000000003,-24.29
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,158.36,0.0,60.0,2023-01-10,2025-01-10,-2.799999999999997,-36.36
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,334.64,0.0,70.0,2024-01-10,2026-01-10,-2.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KERALA,MORTH,294.28,0.0,98.0,2017-01-08,2019-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,MORTH,385.15,0.0,90.0,2022-01-05,2024-01-05,-2.0,-203.36
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,MORTH,297.25,155.15,100.0,2022-01-07,2024-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,226.16,0.0,53.0,2024-01-08,2026-01-02,-8.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,624.43,154.25,95.0,2023-01-05,2024-01-11,-1.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,840.93,204.84,75.0,2024-01-02,2026-01-02,-2.0,-5.27000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,MORTH,504.0,0.0,2.5,2025-01-05,2027-01-05,-2.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,353.27,0.0,7.000000000000001,2025-01-05,2026-01-11,-0.4999999999999991,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,438.24,0.0,55.00000000000001,2024-01-02,2026-01-02,0.0,-81.45
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,225.17,0.0,75.0,2024-01-01,2025-01-06,-3.0,-66.96
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,515.69,118.72,54.0,2024-01-08,2026-01-02,-2.000000000000007,-9.830000000000013
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,1019.97,0.0,30.55,2025-01-08,2027-01-08,-3.000000000000004,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,808.7,0.0,28.78,2025-01-08,2027-01-08,-8.920000000000002,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,MORTH,263.19,0.0,83.0,2023-01-10,2025-01-04,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,192.67,141.82,96.0,2018-01-06,2019-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,350.69,199.09,81.62,2023-01-01,2025-01-01,-1.7099999999999935,-4.030000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,264.14,3.78,0.0,2022-01-11,2024-01-05,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,516.96,121.75,98.0,2021-01-12,2025-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,MORTH,496.47,171.91,51.370000000000005,2021-01-12,2024-01-12,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,MORTH,173.65,11.38,20.0,2025-01-02,2026-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,718.52,308.99,84.0,2023-01-03,2025-01-03,-1.0,-3.839999999999975
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,163.86,0.0,42.78,2023-01-11,2025-01-05,-7.469999999999992,-49.03
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,492.12,0.0,88.0,2024-01-01,2026-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,851.4,0.0,0.0,2026-01-03,2028-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,657.16,0.0,83.46000000000001,2025-01-05,2027-01-05,-5.099999999999994,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,MORTH,242.8,145.49,98.38,2021-01-03,2023-01-03,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,439.82,213.04,86.53999999999999,2022-01-05,2024-01-05,-3.660000000000011,-0.0800000000000125
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,395.62,0.0,94.0,2022-01-11,2024-01-05,-1.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,159.66,75.64,100.0,2024-01-03,2026-01-03,,
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (KARNATAKA, MAHARASHTRA)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],1007.0,49.85,2.5,2025-01-10,2027-01-10,-0.5,-0.5
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ODISHA,MINISTRY OF PETROLEUM & NATURAL GAS,514.91,24.9,5.9,2022-01-02,2031-01-12,0.0999999999999996,-0.870000000000001
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,CHHATTISGARH,MINISTRY OF PETROLEUM & NATURAL GAS,557.04,10.33,2.2,2022-01-06,2030-01-06,0.0,-1.3000000000000007
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,"MULTI-STATES (ASSAM, BIHAR, WEST BENGAL)",MINISTRY OF PETROLEUM & NATURAL GAS,680.0,12.65,29.0,2024-01-12,2029-01-12,0.0,-0.879999999999999
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,MADHYA PRADESH,MINISTRY OF PETROLEUM & NATURAL GAS,1792.0,510.5,70.8,2024-01-05,2027-01-01,-2.200000000000003,-30.700000000000045
MINISTRY OF RAILWAYS,RAILWAYS,JHARKHAND,EAST CENTRAL RAILWAY [ECR] - I,2887.11,0.1,0.0,2025-01-06,2029-01-12,0.0,-0.75
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,MINISTRY OF PETROLEUM & NATURAL GAS,635.28,543.0,70.8,2022-01-12,2025-01-12,-1.2000000000000028,78.54000000000002
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,KERALA,MINISTRY OF PETROLEUM & NATURAL GAS,1130.0,306.1,43.2,2024-01-09,2028-01-08,-5.599999999999994,-18.50999999999999
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,CHHATTISGARH,"INDIAN INSTITUTE OF TECHNOLOGY, BHILAI",1188.97,0.0,0.0,2026-01-01,2028-01-10,0.0,-1.92
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,KERALA,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,1527.0,9.8,0.0,2026-01-01,2028-01-10,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,GUJARAT,WESTERN RAILWAY [WR] - II,2526.47,0.0,0.0,2025-01-09,2028-01-09,,
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,DELHI,PMSSY AND INSTITUTE OF NATIONAL IMPORTANCE,4441.0,44.44,56.99999999999999,2022-01-06,2027-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,MORTH,302.88,187.77,99.1,2022-01-02,2023-01-08,-0.5200000000000102,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,MORTH,252.2,0.0,44.46,2024-01-06,2026-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,379.23,206.48,100.0,2021-01-10,2023-01-10,,
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (BIHAR, UTTAR PRADESH)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],2368.0,138.29,2.03,2025-01-10,2027-01-10,-4.35,-19.65000000000001
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (ANDHRA PRADESH, KARNATAKA)",STERLITE POWER,4535.99,1057.57,50.0,2025-01-03,2027-01-03,-14.0,-150.0
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,RAIL VIKAS NIGAM LIMITED,1516.45,2154.73,98.0,2009-01-11,2025-01-03,,
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (CHHATTISGARH, ODISHA)",SECR,1281.81,130.14,5.0,2024-01-09,2028-01-03,,
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,GUJARAT,ADANI TRANSMISSION LIMITED,4000.0,553.0,19.0,2024-01-10,2026-01-10,-5.0,-145.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",NORTH WESTERN RAILWAY [NWR],2417.24,7.7,8.0,2023-01-05,2028-01-03,,
MINISTRY OF RAILWAYS,RAILWAYS,TELANGANA,RVNL - II,521.36,492.12,91.0,2023-01-02,2026-01-12,0.0,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,CONSTRUCTION,TELANGANA,CENTRAL PUBLIC WORKS DEPARTMENT - CPWD,644.0,175.79,23.0,2024-01-11,2027-01-09,-3.0,-12.900000000000006
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,"MULTI-STATES (ANDHRA PRADESH, BIHAR, CHHATTISGARH, JHARKHAND, MADHYA PRADESH, MAHARASHTRA, ODISHA, TELANGANA, UTTAR PRADESH, WEST BENGAL)",DEPARTMENT OF TELECOMMUNICATIONS [DOT],1884.6,376.8,98.28,2024-01-05,2025-01-05,-1.0300000000000011,0.0
MINISTRY OF COAL,COAL,JHARKHAND,BHARAT COKING COAL LIMITED [BCCL],5940.47,327.78,31.0,2025-01-07,2028-01-12,-3.0,-192.97000000000003
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH,1923.81,1949.56,49.52,2017-01-01,2027-01-07,-0.0799999999999983,1610.65
DEPARTMENT FOR PROMOTION OF INDUSTRY & INTERNAL TRADE,REAL ESTATE,ANDHRA PRADESH,NICDC,2786.0,278.6,12.81,2025-01-10,2028-01-10,-3.410000000000002,-77.44999999999999
DEPARTMENT FOR PROMOTION OF INDUSTRY & INTERNAL TRADE,REAL ESTATE,ANDHRA PRADESH,NICDC,2136.0,39.75,5.23,2025-01-10,2028-01-10,-0.1600000000000001,0.0
MINISTRY OF COAL,ELECTRICITY GENERATION,GUJARAT,NLC INDIA LIMITED [NLCIL],3335.85,2000.62,60.0,2024-01-06,2026-01-06,-2.0,-122.32999999999991
MINISTRY OF COAL,COAL,JHARKHAND,NLC INDIA LIMITED [NLCIL],1354.2,228.36,40.0,2023-01-12,2029-01-03,0.0,-5.409999999999997
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,GUJARAT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],581.74,17.45,6.0,2025-01-03,2026-01-12,-1.1999999999999993,0.0
