MINISTRY,SECTOR,SLNO,PROJECT_NAME,AGENCY,PROJECT_CODES,STATE,DATE_OF_APPROVAL,START_DATE,ORIGINAL_TARGET_DOC,REVISED_DOC,ORIGINAL_COST_RS_CRORE,REVISED_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PCT,SOURCE_PAGE,REPORT_MONTH,SOURCE_FILE,PHYSICAL_PROGRESS_PERCENT,PROJECT_ID
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,232.0,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ITS ATC FROM ISTS PART B,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],400005 | N18000337 | 4690,"MULTI-STATES (DADRA & NAGAR HAVELI AND DAMAN & DIU, GUJARAT, MAHARASHTRA)",1-01-22,1-07-22,1-06-23,1-05-26,4546.26,4546.26,4528.07,0.999,66.0,APRIL,Project_Monitoring_April_2026.xlsx,99.9,400005
MINISTRY OF RAILWAYS,RAILWAYS,711.0,JHARSUGUDA-BARPALI-SARDEGA PH II WORKS- RAIL CONNECTIVITY FOR COAL LOADING BULB AT BARPALI.,SOUTH EASTERN RAILWAY [SER] - I,400006 | - | 4689,ODISHA,1-10-21,1-10-21,1-10-25,1-12-26,808.99,808.99,701.15,0.38,89.0,APRIL,Project_Monitoring_April_2026.xlsx,38.0,400006
MINISTRY OF RAILWAYS,RAILWAYS,713.0,JHARSUGUDA-BARPALI-SARDEGA PH II WORKS- RAIL CONNECTIVITY FOR COAL LOADING BULB AT BARPALI.,SOUTH EASTERN RAILWAY [SER] - I,400006 | - | 4689,ODISHA,1-10-21,1-10-21,1-10-25,1-12-26,808.99,808.99,743.46,0.4,88.0,MAY,Project_Monitoring_May_2026.xlsx,40.0,400006
MINISTRY OF RAILWAYS,RAILWAYS,699.0,JHARSUGUDA-BARPALI-SARDEGA PH II WORKS- RAIL CONNECTIVITY FOR COAL LOADING BULB AT BARPALI.,SOUTH EASTERN RAILWAY [SER] - I,400006 | - | -,ODISHA,1-10-21,1-10-21,1-10-25,1-12-26,808.99,808.99,743.46,0.4,92.0,JUNE,Project_Monitoring_June_2026.xlsx,40.0,400006
MINISTRY OF RAILWAYS,RAILWAYS,662.0,JHARSUGUDA-BARPALI-SARDEGA PH II WORKS- RAIL CONNECTIVITY FOR COAL LOADING BULB AT BARPALI.,SOUTH EASTERN RAILWAY [SER] - I,400006 | - | -,ODISHA,1-10-21,1-10-21,1-10-25,1-12-26,808.99,808.99,743.46,0.44,87.0,JULY,Project_Monitoring_July_2026.xlsx,44.0,400006
MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,15.0,"CONSTRUCTION OF TERMINAL BUILDING & ASSOCIATED WORKS AT LEH AIRPORT, LADAKH",AIRPORT AUTHORITY OF INDIA [AAI],400010 | N04000078 | 4665,LADAKH,1-07-18,1-09-18,1-09-21,1-07-26,480.0,640.0,501.81,0.789,55.0,APRIL,Project_Monitoring_April_2026.xlsx,78.9,400010
MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,15.0,"CONSTRUCTION OF TERMINAL BUILDING & ASSOCIATED WORKS AT LEH AIRPORT, LADAKH",AIRPORT AUTHORITY OF INDIA [AAI],400010 | N04000078 | 4665,LADAKH,1-07-18,1-09-18,1-09-21,1-07-26,480.0,640.0,506.13,0.792,54.0,MAY,Project_Monitoring_May_2026.xlsx,79.2,400010
MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,14.0,"CONSTRUCTION OF TERMINAL BUILDING & ASSOCIATED WORKS AT LEH AIRPORT, LADAKH",AIRPORT AUTHORITY OF INDIA [AAI],400010 | - | -,LADAKH,1-07-18,1-09-18,1-09-21,1-07-26,480.0,640.0,509.41,0.834,59.0,JUNE,Project_Monitoring_June_2026.xlsx,83.39999999999999,400010
MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,14.0,"CONSTRUCTION OF TERMINAL BUILDING & ASSOCIATED WORKS AT LEH AIRPORT, LADAKH",AIRPORT AUTHORITY OF INDIA [AAI],400010 | - | -,LADAKH,1-07-18,1-09-18,1-09-21,1-07-26,480.0,640.0,512.55,0.88,55.0,JULY,Project_Monitoring_July_2026.xlsx,88.0,400010
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,354.0,KANDLA GORAKHPUR LPG PIPELINE,MINISTRY OF PETROLEUM & NATURAL GAS,400012 | - | 4509,"MULTI-STATES (GUJARAT, MADHYA PRADESH, UTTAR PRADESH)",1-12-18,1-12-18,1-12-21,1-06-26,10088.0,10088.0,8529.58,0.952,72.0,APRIL,Project_Monitoring_April_2026.xlsx,95.19999999999999,400012
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,345.0,KANDLA GORAKHPUR LPG PIPELINE,MINISTRY OF PETROLEUM & NATURAL GAS,400012 | - | 4509,"MULTI-STATES (GUJARAT, MADHYA PRADESH, UTTAR PRADESH)",1-12-18,1-12-18,1-12-21,1-06-26,10088.0,10088.0,8585.71,0.954,71.0,MAY,Project_Monitoring_May_2026.xlsx,95.39999999999999,400012
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,341.0,KANDLA GORAKHPUR LPG PIPELINE,MINISTRY OF PETROLEUM & NATURAL GAS,400012 | - | -,"MULTI-STATES (GUJARAT, MADHYA PRADESH, UTTAR PRADESH)",1-12-18,1-12-18,1-12-21,1-06-26,10088.0,10088.0,8672.35,0.957,75.0,JUNE,Project_Monitoring_June_2026.xlsx,95.7,400012
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,341.0,KANDLA GORAKHPUR LPG PIPELINE,INDIAN OIL CORPORATION LIMITED [IOCL],400012 | - | -,UTTAR PRADESH,1-12-18,1-12-18,1-12-21,1-10-26,10088.0,10088.0,8504.21,0.96,71.0,JULY,Project_Monitoring_July_2026.xlsx,96.0,400012
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1929.0,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,DEPARTMENT OF TELECOMMUNICATIONS [DOT],400013 | - | 4599,PAN INDIA,1-07-22,1-07-22,1-06-24,1-03-26,26316.0,30620.0,9791.8,0.84,160.0,APRIL,Project_Monitoring_April_2026.xlsx,84.0,400013
