MINISTRY,SECTOR,SLNO,PROJECT_NAME,AGENCY,PROJECT_CODES,STATE,DATE_OF_APPROVAL,START_DATE,ORIGINAL_TARGET_DOC,REVISED_DOC,ORIGINAL_COST_RS_CRORE,REVISED_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PCT,SOURCE_PAGE,REPORT_MONTH,SOURCE_FILE,PHYSICAL_PROGRESS_PERCENT,PROJECT_ID
MINISTRY OF COAL,ELECTRICITY GENERATION,144.0,50 MW WIND POWER PROJECT,NLC INDIA LIMITED [NLCIL],617299 | N06000292 | -,GUJARAT,1-07-22,1-01-24,1-06-25,1-01-26,383.84,383.84,328.56,0.51,61.0,APRIL,Project_Monitoring_April_2026.xlsx,51.0,617299
MINISTRY OF COAL,ELECTRICITY GENERATION,140.0,50 MW WIND POWER PROJECT,NLC INDIA LIMITED [NLCIL],617299 | N06000292 | -,GUJARAT,1-07-22,1-01-24,1-06-25,1-01-26,383.84,383.84,329.59,0.52,60.0,MAY,Project_Monitoring_May_2026.xlsx,52.0,617299
MINISTRY OF COAL,ELECTRICITY GENERATION,139.0,50 MW WIND POWER PROJECT,NLC INDIA LIMITED,617299 | - | -,GUJARAT,1-07-22,1-01-24,1-06-25,1-12-26,383.84,383.84,328.54,0.52,65.0,JUNE,Project_Monitoring_June_2026.xlsx,52.0,617299
MINISTRY OF COAL,ELECTRICITY GENERATION,139.0,50 MW WIND POWER PROJECT,NLC INDIA LIMITED,617299 | - | -,GUJARAT,1-07-22,1-01-24,1-06-25,1-12-26,383.84,383.84,333.34,0.52,61.0,JULY,Project_Monitoring_July_2026.xlsx,52.0,617299
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,450.0,DURGAPUR - HALDIA PIPELINE [SECTION-3B OF JHBDPL PROJECT],MINISTRY OF PETROLEUM & NATURAL GAS,617302 | N16000275 | -,WEST BENGAL,1-03-17,1-03-17,1-12-20,1-09-26,1740.0,2493.15,2363.6,0.947,77.0,APRIL,Project_Monitoring_April_2026.xlsx,94.69999999999999,617302
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,439.0,DURGAPUR - HALDIA PIPELINE [SECTION-3B OF JHBDPL PROJECT],MINISTRY OF PETROLEUM & NATURAL GAS,617302 | N16000275 | -,WEST BENGAL,1-03-17,1-03-17,1-12-20,1-09-26,1740.0,2493.15,2370.4,0.95,75.0,MAY,Project_Monitoring_May_2026.xlsx,95.0,617302
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,431.0,DURGAPUR - HALDIA PIPELINE [SECTION-3B OF JHBDPL PROJECT],MINISTRY OF PETROLEUM & NATURAL GAS,617302 | - | -,WEST BENGAL,1-03-17,1-03-17,1-12-20,1-09-26,1740.0,2493.15,2375.1,0.952,80.0,JUNE,Project_Monitoring_June_2026.xlsx,95.19999999999999,617302
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,428.0,DURGAPUR - HALDIA PIPELINE [SECTION-3B OF JHBDPL PROJECT],GAS AUTHORITY OF INDIA LIMITED [GAIL],617302 | - | -,WEST BENGAL,1-03-17,1-03-17,1-12-20,1-09-26,1740.0,2583.0,2380.8,0.957,75.0,JULY,Project_Monitoring_July_2026.xlsx,95.7,617302
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,376.0,"SETTING UP OF LPG PLANT WITH RAIL UNLOADING FACILITY AT HATHUA, DIST. GOPALGANJ, BIHAR",MINISTRYOFPETROLEUMNATURALGAS,617304 | - | -,BIHAR,1-10-23,1-10-23,1-03-27,1-03-27,340.15,340.15,167.24,0.51,73.0,APRIL,Project_Monitoring_April_2026.xlsx,51.0,617304
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,366.0,"SETTING UP OF LPG PLANT WITH RAIL UNLOADING FACILITY AT HATHUA, DIST. GOPALGANJ, BIHAR",MINISTRYOFPETROLEUMNATURALGAS,617304 | - | -,BIHAR,1-10-23,1-10-23,1-03-27,1-03-27,340.15,340.15,172.18,0.53,72.0,MAY,Project_Monitoring_May_2026.xlsx,53.0,617304
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,360.0,"SETTING UP OF LPG PLANT WITH RAIL UNLOADING FACILITY AT HATHUA, DIST. GOPALGANJ, BIHAR",MINISTRYOFPETROLEUMNATURALGAS,617304 | - | -,BIHAR,1-10-23,1-10-23,1-03-27,1-03-27,340.15,340.15,179.55,0.55,76.0,JUNE,Project_Monitoring_June_2026.xlsx,55.00000000000001,617304
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,359.0,"SETTING UP OF LPG PLANT WITH RAIL UNLOADING FACILITY AT HATHUA, DIST. GOPALGANJ, BIHAR",BHARAT PETROLEUM CORPORATION LIMITED [BPCL],617304 | - | -,BIHAR,1-10-23,1-10-23,1-03-27,,340.15,340.15,186.21,0.56,72.0,JULY,Project_Monitoring_July_2026.xlsx,56.00000000000001,617304
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,206.0,IMPLEMENTATION OF TRANSMISSION SYSTEMS IN THE STATE OF JHARKHAND CONSISTING OF 400/220/132/33 KV TRANSMISSION LINES AND SUBSTATIONS UNDER JHARKHAND CONSULTANCY PROJECT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617326 | - | 9893,JHARKHAND,1-02-12,1-02-12,1-03-26,1-08-26,1842.25,1842.25,1648.05,0.96,64.0,APRIL,Project_Monitoring_April_2026.xlsx,96.0,617326
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,200.0,IMPLEMENTATION OF TRANSMISSION SYSTEMS IN THE STATE OF JHARKHAND CONSISTING OF 400/220/132/33 KV TRANSMISSION LINES AND SUBSTATIONS UNDER JHARKHAND CONSULTANCY PROJECT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617326 | - | 9893,JHARKHAND,1-02-12,1-02-12,1-03-26,1-08-26,1842.25,1842.25,1648.05,0.962,63.0,MAY,Project_Monitoring_May_2026.xlsx,96.2,617326
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,198.0,IMPLEMENTATION OF TRANSMISSION SYSTEMS IN THE STATE OF JHARKHAND CONSISTING OF 400/220/132/33 KV TRANSMISSION LINES AND SUBSTATIONS UNDER JHARKHAND CONSULTANCY PROJECT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617326 | - | -,JHARKHAND,1-02-12,1-02-12,1-03-26,1-08-26,1842.25,1842.25,1648.05,0.963,68.0,JUNE,Project_Monitoring_June_2026.xlsx,96.3,617326
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,199.0,IMPLEMENTATION OF TRANSMISSION SYSTEMS IN THE STATE OF JHARKHAND CONSISTING OF 400/220/132/33 KV TRANSMISSION LINES AND SUBSTATIONS UNDER JHARKHAND CONSULTANCY PROJECT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617326 | - | -,JHARKHAND,1-02-12,1-02-12,1-03-26,1-06-27,1842.25,1842.25,1648.05,0.964,64.0,JULY,Project_Monitoring_July_2026.xlsx,96.39999999999999,617326
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,277.0,THANE INTEGRAL RING METRO RAIL PROJECT,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],617327 | - | 7735,MAHARASHTRA,1-09-24,1-09-24,1-09-29,,12200.1,12200.1,81.63,0.0825,68.0,APRIL,Project_Monitoring_April_2026.xlsx,8.25,617327
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,268.0,THANE INTEGRAL RING METRO RAIL PROJECT,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],617327 | - | 7735,MAHARASHTRA,1-09-24,1-09-24,1-09-29,,12200.1,12200.1,83.69,0.0874,67.0,MAY,Project_Monitoring_May_2026.xlsx,8.74,617327
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,264.0,THANE INTEGRAL RING METRO RAIL PROJECT,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],617327 | - | -,MAHARASHTRA,1-09-24,1-09-24,1-09-29,,12200.1,12200.1,95.64,0.0949,72.0,JUNE,Project_Monitoring_June_2026.xlsx,9.49,617327
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,264.0,THANE INTEGRAL RING METRO RAIL PROJECT,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],617327 | - | -,MAHARASHTRA,1-09-24,1-09-24,1-09-29,,12200.1,12200.1,101.17,0.1004,68.0,JULY,Project_Monitoring_July_2026.xlsx,10.040000000000001,617327
MINISTRY OF RAILWAYS,RAILWAYS,764.0,SURFACE TRIANGLE LINE BET. BHADURA STN AND NEW CROSSING STN KARMA,EAST CENTRAL RAILWAY [ECR] - I,617333 | - | -,UTTAR PRADESH,1-10-22,1-05-24,1-02-27,,199.96,199.96,5.19,0.005,91.0,APRIL,Project_Monitoring_April_2026.xlsx,0.5,617333
MINISTRY OF RAILWAYS,RAILWAYS,766.0,SURFACE TRIANGLE LINE BET. BHADURA STN AND NEW CROSSING STN KARMA,EAST CENTRAL RAILWAY [ECR] - I,617333 | - | -,UTTAR PRADESH,1-10-22,1-05-24,1-02-27,,199.96,199.96,7.67,0.006,90.0,MAY,Project_Monitoring_May_2026.xlsx,0.6,617333
MINISTRY OF RAILWAYS,RAILWAYS,750.0,SURFACE TRIANGLE LINE BET. BHADURA STN AND NEW CROSSING STN KARMA,EAST CENTRAL RAILWAY [ECR] - I,617333 | - | -,UTTAR PRADESH,1-10-22,1-05-24,1-02-27,,199.96,199.96,7.67,0.006,95.0,JUNE,Project_Monitoring_June_2026.xlsx,0.6,617333
MINISTRY OF RAILWAYS,RAILWAYS,625.0,CONSTRUCTION OF SURFACE TRAINGLE BETWEEN BHADAURA AND NEW CROSSING STATION KARMA DILDARNAGAR-TARAGHAT LINE 11.1 KM PB72/NR/2022-23,CAO/CON/SOUTH/MHX ECR MOR,617333 | - | -,"MULTI-STATES (BIHAR, UTTAR PRADESH)",1-10-22,1-06-24,1-02-27,,199.96,199.96,64.04,0.0,85.0,JULY,Project_Monitoring_July_2026.xlsx,0.0,617333
MINISTRY OF STEEL,STEEL,524.0,STAMP CHARGE BATTERY NO.12 BATTERY PROPER AT IISCO STEEL PLANT,STEEL AUTHORITY OF INDIA LIMITED [SAIL],617338 | - | 9892,WEST BENGAL,1-01-25,1-02-25,1-07-28,,2518.39,2518.39,375.65,0.225,80.0,APRIL,Project_Monitoring_April_2026.xlsx,22.5,617338
MINISTRY OF STEEL,STEEL,525.0,STAMP CHARGE BATTERY NO.12 BATTERY PROPER AT IISCO STEEL PLANT,STEEL AUTHORITY OF INDIA LIMITED [SAIL],617338 | - | 9892,WEST BENGAL,1-01-25,1-02-25,1-07-28,,2518.39,2518.39,389.09,0.236,79.0,MAY,Project_Monitoring_May_2026.xlsx,23.599999999999998,617338
MINISTRY OF STEEL,STEEL,515.0,STAMP CHARGE BATTERY NO.12 BATTERY PROPER AT IISCO STEEL PLANT,STEEL AUTHORITY OF INDIA LIMITED [SAIL],617338 | - | -,WEST BENGAL,1-01-25,1-02-25,1-07-28,,2518.39,2518.39,415.31,0.267,84.0,JUNE,Project_Monitoring_June_2026.xlsx,26.700000000000003,617338
MINISTRY OF STEEL,STEEL,523.0,STAMP CHARGE BATTERY NO.12 BATTERY PROPER AT IISCO STEEL PLANT,STEEL AUTHORITY OF INDIA LIMITED [SAIL],617338 | - | -,WEST BENGAL,1-01-25,1-02-25,1-07-28,,2518.39,2518.39,472.41,0.2766,80.0,JULY,Project_Monitoring_July_2026.xlsx,27.66,617338
MINISTRY OF RAILWAYS,RAILWAYS,781.0,SER UPGRADATION OF MAINTENANCE INFRASTRUCTURE AT SHALIMAR INTO VANDE BHARAT CHAIR CAR MAINTENANCE CUM WORKSHOP DEPOT.,SOUTH EASTERN RAILWAY - JH,617345 | - | -,WEST BENGAL,1-03-24,1-12-24,1-10-26,,226.87,226.87,86.69,0.5,92.0,APRIL,Project_Monitoring_April_2026.xlsx,50.0,617345
MINISTRY OF RAILWAYS,RAILWAYS,783.0,SER UPGRADATION OF MAINTENANCE INFRASTRUCTURE AT SHALIMAR INTO VANDE BHARAT CHAIR CAR MAINTENANCE CUM WORKSHOP DEPOT.,SOUTH EASTERN RAILWAY - JH,617345 | - | -,WEST BENGAL,1-03-24,1-12-24,1-10-26,,226.87,226.87,86.69,0.5,91.0,MAY,Project_Monitoring_May_2026.xlsx,50.0,617345
MINISTRY OF RAILWAYS,RAILWAYS,767.0,SER UPGRADATION OF MAINTENANCE INFRASTRUCTURE AT SHALIMAR INTO VANDE BHARAT CHAIR CAR MAINTENANCE CUM WORKSHOP DEPOT.,SOUTH EASTERN RAILWAY - JH,617345 | - | -,WEST BENGAL,1-03-24,1-12-24,1-10-26,,226.87,226.87,86.69,0.5,95.0,JUNE,Project_Monitoring_June_2026.xlsx,50.0,617345
MINISTRY OF RAILWAYS,RAILWAYS,629.0,BABUPETH - SASTI NEW RAIL LINE [13.114 KMS],CENTRALRAILWAY,617361 | - | -,MAHARASHTRA,1-10-24,1-10-24,1-03-28,,362.81,362.81,0.48,0.0,85.0,APRIL,Project_Monitoring_April_2026.xlsx,0.0,617361
MINISTRY OF RAILWAYS,RAILWAYS,631.0,BABUPETH - SASTI NEW RAIL LINE [13.114 KMS],CENTRALRAILWAY,617361 | - | -,MAHARASHTRA,1-10-24,1-10-24,1-03-28,,362.81,362.81,0.48,0.0,84.0,MAY,Project_Monitoring_May_2026.xlsx,0.0,617361
MINISTRY OF RAILWAYS,RAILWAYS,618.0,BABUPETH - SASTI NEW RAIL LINE [13.114 KMS],CENTRALRAILWAY,617361 | - | -,MAHARASHTRA,1-10-24,1-10-24,1-03-28,,362.81,362.81,0.48,0.0,89.0,JUNE,Project_Monitoring_June_2026.xlsx,0.0,617361
MINISTRY OF RAILWAYS,RAILWAYS,630.0,DOUBLE CHORD LINE BETWEEN NILAJE-KOPAR,CENTRALRAILWAY,617364 | - | -,MAHARASHTRA,1-01-25,1-01-25,1-07-28,,338.33,205.0,24.04,0.24,85.0,APRIL,Project_Monitoring_April_2026.xlsx,24.0,617364
MINISTRY OF RAILWAYS,RAILWAYS,632.0,DOUBLE CHORD LINE BETWEEN NILAJE-KOPAR,CENTRALRAILWAY,617364 | - | -,MAHARASHTRA,1-01-25,1-01-25,1-07-28,,338.33,205.0,29.33,0.24,84.0,MAY,Project_Monitoring_May_2026.xlsx,24.0,617364
MINISTRY OF RAILWAYS,RAILWAYS,619.0,DOUBLE CHORD LINE BETWEEN NILAJE-KOPAR,CENTRALRAILWAY,617364 | - | -,MAHARASHTRA,1-01-25,1-01-25,1-07-28,,338.33,205.0,55.83,0.6,89.0,JUNE,Project_Monitoring_June_2026.xlsx,60.0,617364
MINISTRY OF RAILWAYS,RAILWAYS,595.0,CENTRAL RAILWAY - DOUBLE CHORD LINE BETWEEN NILAJE AND KOPAR 4.495 KM PB34/CR/2023-24,CAOC/CR CR MOR,617364 | - | -,MAHARASHTRA,1-07-23,1-12-24,1-07-28,,338.33,205.0,57.54,0.15,84.0,JULY,Project_Monitoring_July_2026.xlsx,15.0,617364
MINISTRY OF RAILWAYS,RAILWAYS,765.0,DOUBLING BETWEEN JAUNPUR JN - ZAFFARABAD 6.28 KM,M/S SRC COMPANY INFRA PRIVATE LIMITED,617370 | - | -,UTTAR PRADESH,1-03-23,1-02-25,1-01-27,,180.66,180.66,43.65,0.105,91.0,APRIL,Project_Monitoring_April_2026.xlsx,10.5,617370
MINISTRY OF RAILWAYS,RAILWAYS,767.0,DOUBLING BETWEEN JAUNPUR JN - ZAFFARABAD 6.28 KM,M/S SRC COMPANY INFRA PRIVATE LIMITED,617370 | - | -,UTTAR PRADESH,1-03-23,1-02-25,1-01-27,,180.66,180.66,65.5,0.2754,90.0,MAY,Project_Monitoring_May_2026.xlsx,27.54,617370
MINISTRY OF RAILWAYS,RAILWAYS,751.0,DOUBLING BETWEEN JAUNPUR JN - ZAFFARABAD 6.28 KM,M/S SRC COMPANY INFRA PRIVATE LIMITED,617370 | - | -,UTTAR PRADESH,1-03-23,1-02-25,1-01-27,,180.66,180.66,65.54,0.2755,95.0,JUNE,Project_Monitoring_June_2026.xlsx,27.55,617370
MINISTRY OF RAILWAYS,RAILWAYS,702.0,DOUBLING BETWEEN JAUNPUR JN - ZAFFARABAD 6.28 KM PB73/2023-24/NR,CAOC/NR NR MOR,617370 | - | -,UTTAR PRADESH,1-03-23,1-04-25,1-01-27,,180.66,237.38,78.47,0.22,88.0,JULY,Project_Monitoring_July_2026.xlsx,22.0,617370
MINISTRY OF RAILWAYS,RAILWAYS,594.0,DOUBLING BETWEEN PRADHANKUNTA-PATHERIH-BHOJUDIH OF EAST CENTRAL RAILWAY,EAST CENTRAL RAILWAY [ECR] - I,617372 | - | -,JHARKHAND,1-11-22,1-11-22,1-12-25,1-03-26,349.22,349.22,125.71,0.715,84.0,APRIL,Project_Monitoring_April_2026.xlsx,71.5,617372
MINISTRY OF RAILWAYS,RAILWAYS,596.0,DOUBLING BETWEEN PRADHANKUNTA-PATHERIH-BHOJUDIH OF EAST CENTRAL RAILWAY,EAST CENTRAL RAILWAY [ECR] - I,617372 | - | -,JHARKHAND,1-11-22,1-11-22,1-12-25,1-03-26,349.22,349.22,145.57,0.72,83.0,MAY,Project_Monitoring_May_2026.xlsx,72.0,617372
MINISTRY OF RAILWAYS,RAILWAYS,571.0,PRADHANKHUNTA JN-PATHERDIH BAZAR-BHOJUDIH 17.1 KM UMBRELLA WORK PB57/2019- 20/NR,CAO/CON/SOUTH/MHX ECR MOR,617372 | - | -,JHARKHAND,1-11-22,1-09-25,1-11-27,1-03-26,349.22,349.22,162.92,0.6,82.0,JULY,Project_Monitoring_July_2026.xlsx,60.0,617372
MINISTRY OF RAILWAYS,RAILWAYS,561.0,"DALLIRAJHARA - ROWGHAT NEW RAIL LINE PROJECT, PHASE-I",RAIL VIKAS NIGAM LIMITED,617374 | N22000602 | -,CHHATTISGARH,1-07-09,1-11-09,1-03-25,1-02-26,1516.45,1881.26,2124.32,0.98,82.0,APRIL,Project_Monitoring_April_2026.xlsx,98.0,617374
MINISTRY OF RAILWAYS,RAILWAYS,563.0,"DALLIRAJHARA - ROWGHAT NEW RAIL LINE PROJECT, PHASE-I",RAIL VIKAS NIGAM LIMITED,617374 | N22000602 | -,CHHATTISGARH,1-07-09,1-11-09,1-03-25,1-02-26,1516.45,1881.26,2143.72,0.98,81.0,MAY,Project_Monitoring_May_2026.xlsx,98.0,617374
MINISTRY OF RAILWAYS,RAILWAYS,552.0,"DALLIRAJHARA - ROWGHAT NEW RAIL LINE PROJECT, PHASE-I",RAIL VIKAS NIGAM LIMITED,617374 | - | -,CHHATTISGARH,1-07-09,1-11-09,1-03-25,1-02-26,1516.45,1881.26,2154.73,0.98,86.0,JUNE,Project_Monitoring_June_2026.xlsx,98.0,617374
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,190.0,NORTH EASTERN REGION EXPANSION SCHEME-XXIII [NERES-XXIII],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617375 | - | -,ARUNACHAL PRADESH,1-08-25,1-08-25,1-02-28,,209.38,209.38,3.14,0.015,63.0,APRIL,Project_Monitoring_April_2026.xlsx,1.5,617375
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,184.0,NORTH EASTERN REGION EXPANSION SCHEME-XXIII [NERES-XXIII],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617375 | - | -,ARUNACHAL PRADESH,1-08-25,1-08-25,1-02-28,,209.38,209.38,3.14,0.015,62.0,MAY,Project_Monitoring_May_2026.xlsx,1.5,617375
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,182.0,NORTH EASTERN REGION EXPANSION SCHEME-XXIII [NERES-XXIII],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617375 | - | -,ARUNACHAL PRADESH,1-08-25,1-08-25,1-02-28,,209.38,209.38,3.14,0.0156,67.0,JUNE,Project_Monitoring_June_2026.xlsx,1.5599999999999998,617375
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,183.0,NORTH EASTERN REGION EXPANSION SCHEME-XXIII [NERES-XXIII],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617375 | - | -,ARUNACHAL PRADESH,1-08-25,1-08-25,1-02-28,,209.38,209.38,3.14,0.0389,63.0,JULY,Project_Monitoring_July_2026.xlsx,3.8899999999999997,617375
MINISTRY OF RAILWAYS,RAILWAYS,571.0,DEVELOPMENT OF NEW BIJWASAN RAILWAY TERMINAL,NORTHERN RAILWAYS,617379 | - | -,DELHI,1-02-08,1-03-13,1-03-20,1-12-26,446.21,446.21,553.14,0.8,82.0,APRIL,Project_Monitoring_April_2026.xlsx,80.0,617379
MINISTRY OF RAILWAYS,RAILWAYS,573.0,DEVELOPMENT OF NEW BIJWASAN RAILWAY TERMINAL,NORTHERN RAILWAYS,617379 | - | -,DELHI,1-02-08,1-03-13,1-03-20,1-12-26,446.21,446.21,556.36,0.8,82.0,MAY,Project_Monitoring_May_2026.xlsx,80.0,617379
MINISTRY OF RAILWAYS,RAILWAYS,561.0,DEVELOPMENT OF NEW BIJWASAN RAILWAY TERMINAL,NORTHERN RAILWAYS,617379 | - | -,DELHI,1-02-08,1-03-13,1-03-20,1-12-26,446.21,446.21,565.7,0.8,86.0,JUNE,Project_Monitoring_June_2026.xlsx,80.0,617379
MINISTRY OF RAILWAYS,RAILWAYS,674.0,SARDEGA -BHALUMUDA NEW DOUBLE LINE [37.24 KM],SECR,617390 | - | 9702,"MULTI-STATES (CHHATTISGARH, ODISHA)",1-09-24,1-09-24,1-03-28,,1281.81,1281.81,128.07,0.04,87.0,APRIL,Project_Monitoring_April_2026.xlsx,4.0,617390
MINISTRY OF RAILWAYS,RAILWAYS,676.0,SARDEGA -BHALUMUDA NEW DOUBLE LINE [37.24 KM],SECR,617390 | - | 9702,"MULTI-STATES (CHHATTISGARH, ODISHA)",1-09-24,1-09-24,1-03-28,,1281.81,1281.81,128.07,0.04,86.0,MAY,Project_Monitoring_May_2026.xlsx,4.0,617390
MINISTRY OF RAILWAYS,RAILWAYS,663.0,SARDEGA -BHALUMUDA NEW DOUBLE LINE [37.24 KM],SECR,617390 | - | -,"MULTI-STATES (CHHATTISGARH, ODISHA)",1-09-24,1-09-24,1-03-28,,1281.81,1281.81,130.14,0.05,91.0,JUNE,Project_Monitoring_June_2026.xlsx,5.0,617390
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,199.0,AUGMENTATION OF TRANSFORMATION CAPACITY AT BHUJ-II PS [GIS],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617391 | - | -,GUJARAT,1-02-25,1-02-25,1-11-26,1-06-27,488.29,488.29,5.86,0.015,64.0,APRIL,Project_Monitoring_April_2026.xlsx,1.5,617391
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,193.0,AUGMENTATION OF TRANSFORMATION CAPACITY AT BHUJ-II PS [GIS],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617391 | - | -,GUJARAT,1-02-25,1-02-25,1-11-26,1-06-27,488.29,488.29,5.86,0.027,63.0,MAY,Project_Monitoring_May_2026.xlsx,2.7,617391
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,191.0,AUGMENTATION OF TRANSFORMATION CAPACITY AT BHUJ-II PS [GIS],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617391 | - | -,GUJARAT,1-02-25,1-02-25,1-11-26,1-06-27,488.29,488.29,9.76,0.045,67.0,JUNE,Project_Monitoring_June_2026.xlsx,4.5,617391
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,192.0,AUGMENTATION OF TRANSFORMATION CAPACITY AT BHUJ-II PS [GIS],POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],617391 | - | -,GUJARAT,1-02-25,1-02-25,1-11-26,1-06-27,488.29,488.29,14.64,0.072,64.0,JULY,Project_Monitoring_July_2026.xlsx,7.199999999999999,617391
MINISTRY OF RAILWAYS,RAILWAYS,742.0,SADULPUR - CHURU DOUBLING PROJECT,NORTH WESTERN RAILWAY [NWR],617403 | - | -,RAJASTHAN,1-01-24,1-01-24,1-06-26,,468.64,468.64,188.7,0.9,90.0,APRIL,Project_Monitoring_April_2026.xlsx,90.0,617403
MINISTRY OF RAILWAYS,RAILWAYS,744.0,SADULPUR - CHURU DOUBLING PROJECT,NORTH WESTERN RAILWAY [NWR],617403 | - | -,RAJASTHAN,1-01-24,1-01-24,1-06-26,,468.64,468.64,195.42,0.94,89.0,MAY,Project_Monitoring_May_2026.xlsx,94.0,617403
MINISTRY OF RAILWAYS,RAILWAYS,729.0,SADULPUR - CHURU DOUBLING PROJECT,NORTH WESTERN RAILWAY [NWR],617403 | - | -,RAJASTHAN,1-01-24,1-01-24,1-06-26,,468.64,468.64,197.84,0.95,94.0,JUNE,Project_Monitoring_June_2026.xlsx,95.0,617403
MINISTRY OF RAILWAYS,RAILWAYS,687.0,SADULPUR - CHURU DOUBLING PROJECT,NORTH WESTERN RAILWAY [NWR],617403 | - | -,RAJASTHAN,1-01-24,1-01-24,1-06-26,,468.64,468.64,197.84,0.95,88.0,JULY,Project_Monitoring_July_2026.xlsx,95.0,617403
MINISTRY OF RAILWAYS,RAILWAYS,743.0,POKHRAN - RAMDEVRA NEW LINE,NORTH WESTERN RAILWAY [NWR],617404 | - | -,RAJASTHAN,1-04-25,1-04-25,1-03-28,,189.21,189.21,0.0,0.0,90.0,APRIL,Project_Monitoring_April_2026.xlsx,0.0,617404
MINISTRY OF RAILWAYS,RAILWAYS,745.0,POKHRAN - RAMDEVRA NEW LINE,NORTH WESTERN RAILWAY [NWR],617404 | - | -,RAJASTHAN,1-04-25,1-04-25,1-03-28,,189.21,189.21,55.58,0.01,89.0,MAY,Project_Monitoring_May_2026.xlsx,1.0,617404
MINISTRY OF RAILWAYS,RAILWAYS,730.0,POKHRAN - RAMDEVRA NEW LINE,NORTH WESTERN RAILWAY [NWR],617404 | - | -,RAJASTHAN,1-04-25,1-04-25,1-03-28,,189.21,189.21,55.58,0.02,94.0,JUNE,Project_Monitoring_June_2026.xlsx,2.0,617404
MINISTRY OF RAILWAYS,RAILWAYS,688.0,NORTH WESTERN RAILWAY - NEW LINE BETWEEN RAMDEVRA AND POKHRAN VIA BHAIRAV GUFA - KAILASH TEKRI 13.38 KM PB30/NR/2025-26,CAOC/NWR NWR MOR,617404 | - | -,RAJASTHAN,1-04-25,1-05-26,1-03-28,,189.21,189.21,57.31,0.03,88.0,JULY,Project_Monitoring_July_2026.xlsx,3.0,617404
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,200.0,JAMNAGAR TRANSMISSION LIMITED,ADANI TRANSMISSION LIMITED,617405 | - | 9765,GUJARAT,,1-10-24,1-10-26,,4000.0,4000.0,537.0,0.18,64.0,APRIL,Project_Monitoring_April_2026.xlsx,18.0,617405
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,194.0,JAMNAGAR TRANSMISSION LIMITED,ADANI TRANSMISSION LIMITED,617405 | - | 9765,GUJARAT,,1-10-24,1-10-26,,4000.0,4000.0,553.0,0.19,63.0,MAY,Project_Monitoring_May_2026.xlsx,19.0,617405
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,192.0,JAMNAGAR TRANSMISSION LIMITED,ADANI TRANSMISSION LIMITED,617405 | - | -,GUJARAT,,1-10-24,1-10-26,,4000.0,4000.0,553.0,0.19,68.0,JUNE,Project_Monitoring_June_2026.xlsx,19.0,617405
